State,Nutrient,Application,Code,Total
AL,Nitrogen,Atmospheric,A,42263547
AL,Nitrogen,ConfinedLivestock,CL,52581042
AL,Nitrogen,FarmFertilizer,FF,110342718
AL,Nitrogen,NonfarmFertilizer,NFF,1532393
AL,Nitrogen,UnconfinedLivestock,UCL,62225937
AL,Phosphorus,ConfinedLivestock,CL,15992508
AL,Phosphorus,FarmFertilizer,FF,21651999
AL,Phosphorus,NonfarmFertilizer,NFF,262928
AL,Phosphorus,UnconfinedLivestock,UCL,19791197
AR,Nitrogen,Atmospheric,A,58559300
AR,Nitrogen,ConfinedLivestock,CL,85490811
AR,Nitrogen,FarmFertilizer,FF,188200836
AR,Nitrogen,NonfarmFertilizer,NFF,1164046
AR,Nitrogen,UnconfinedLivestock,UCL,58505567
AR,Phosphorus,ConfinedLivestock,CL,26786554
AR,Phosphorus,FarmFertilizer,FF,20034324
AR,Phosphorus,NonfarmFertilizer,NFF,398624
AR,Phosphorus,UnconfinedLivestock,UCL,18261316
AZ,Nitrogen,Atmospheric,A,17454159
AZ,Nitrogen,ConfinedLivestock,CL,20007942
AZ,Nitrogen,FarmFertilizer,FF,77037622
AZ,Nitrogen,NonfarmFertilizer,NFF,396711
AZ,Nitrogen,UnconfinedLivestock,UCL,32879339
AZ,Phosphorus,ConfinedLivestock,CL,5011185
AZ,Phosphorus,FarmFertilizer,FF,9459592
AZ,Phosphorus,NonfarmFertilizer,NFF,52934
AZ,Phosphorus,UnconfinedLivestock,UCL,9706355
CA,Nitrogen,Atmospheric,A,55525577
CA,Nitrogen,ConfinedLivestock,CL,160249215
CA,Nitrogen,FarmFertilizer,FF,471353562
CA,Nitrogen,NonfarmFertilizer,NFF,18144999
CA,Nitrogen,UnconfinedLivestock,UCL,110747931
CA,Phosphorus,ConfinedLivestock,CL,38716074
CA,Phosphorus,FarmFertilizer,FF,60290617
CA,Phosphorus,NonfarmFertilizer,NFF,2649607
CA,Phosphorus,UnconfinedLivestock,UCL,29846361
CO,Nitrogen,Atmospheric,A,46820349
CO,Nitrogen,ConfinedLivestock,CL,55497764
CO,Nitrogen,FarmFertilizer,FF,140625926
CO,Nitrogen,NonfarmFertilizer,NFF,815860
CO,Nitrogen,UnconfinedLivestock,UCL,82126230
CO,Phosphorus,ConfinedLivestock,CL,14847861
CO,Phosphorus,FarmFertilizer,FF,14449154
CO,Phosphorus,NonfarmFertilizer,NFF,191769
CO,Phosphorus,UnconfinedLivestock,UCL,23776816
CT,Nitrogen,Atmospheric,A,5986529
CT,Nitrogen,ConfinedLivestock,CL,6509404
CT,Nitrogen,FarmFertilizer,FF,5570012
CT,Nitrogen,NonfarmFertilizer,NFF,941512
CT,Nitrogen,UnconfinedLivestock,UCL,1361352
CT,Phosphorus,ConfinedLivestock,CL,1647723
CT,Phosphorus,FarmFertilizer,FF,1436015
CT,Phosphorus,NonfarmFertilizer,NFF,127394
CT,Phosphorus,UnconfinedLivestock,UCL,331425
DC,Nitrogen,Atmospheric,A,79316
DE,Nitrogen,Atmospheric,A,2270287
DE,Nitrogen,ConfinedLivestock,CL,16304201
DE,Nitrogen,FarmFertilizer,FF,14924688
DE,Nitrogen,NonfarmFertilizer,NFF,415833
DE,Nitrogen,UnconfinedLivestock,UCL,558087
DE,Phosphorus,ConfinedLivestock,CL,4870073
DE,Phosphorus,FarmFertilizer,FF,2425433
DE,Phosphorus,NonfarmFertilizer,NFF,63972
DE,Phosphorus,UnconfinedLivestock,UCL,139886
FL,Nitrogen,Atmospheric,A,41996766
FL,Nitrogen,ConfinedLivestock,CL,23926750
FL,Nitrogen,FarmFertilizer,FF,240145843
FL,Nitrogen,NonfarmFertilizer,NFF,20996133
FL,Nitrogen,UnconfinedLivestock,UCL,86332249
FL,Phosphorus,ConfinedLivestock,CL,6395895
FL,Phosphorus,FarmFertilizer,FF,46875957
FL,Phosphorus,NonfarmFertilizer,NFF,4241989
FL,Phosphorus,UnconfinedLivestock,UCL,25232117
GA,Nitrogen,Atmospheric,A,44783452
GA,Nitrogen,ConfinedLivestock,CL,70671231
GA,Nitrogen,FarmFertilizer,FF,172568340
GA,Nitrogen,NonfarmFertilizer,NFF,4193420
GA,Nitrogen,UnconfinedLivestock,UCL,52919286
GA,Phosphorus,ConfinedLivestock,CL,21527337
GA,Phosphorus,FarmFertilizer,FF,32998467
GA,Phosphorus,NonfarmFertilizer,NFF,596275
GA,Phosphorus,UnconfinedLivestock,UCL,16876757
IA,Nitrogen,Atmospheric,A,83635661
IA,Nitrogen,ConfinedLivestock,CL,199960782
IA,Nitrogen,FarmFertilizer,FF,776334193
IA,Nitrogen,NonfarmFertilizer,NFF,2081699
IA,Nitrogen,UnconfinedLivestock,UCL,124750259
IA,Phosphorus,ConfinedLivestock,CL,67611489
IA,Phosphorus,FarmFertilizer,FF,113445683
IA,Phosphorus,NonfarmFertilizer,NFF,591523
IA,Phosphorus,UnconfinedLivestock,UCL,43853496
ID,Nitrogen,Atmospheric,A,21432352
ID,Nitrogen,ConfinedLivestock,CL,29953178
ID,Nitrogen,FarmFertilizer,FF,147465198
ID,Nitrogen,NonfarmFertilizer,NFF,846364
ID,Nitrogen,UnconfinedLivestock,UCL,55972918
ID,Phosphorus,ConfinedLivestock,CL,6723275
ID,Phosphorus,FarmFertilizer,FF,25749178
ID,Phosphorus,NonfarmFertilizer,NFF,67511
ID,Phosphorus,UnconfinedLivestock,UCL,16695103
IL,Nitrogen,Atmospheric,A,80284226
IL,Nitrogen,ConfinedLivestock,CL,84402733
IL,Nitrogen,FarmFertilizer,FF,807885412
IL,Nitrogen,NonfarmFertilizer,NFF,5453832
IL,Nitrogen,UnconfinedLivestock,UCL,60451863
IL,Phosphorus,ConfinedLivestock,CL,27259857
IL,Phosphorus,FarmFertilizer,FF,145464382
IL,Phosphorus,NonfarmFertilizer,NFF,2535534
IL,Phosphorus,UnconfinedLivestock,UCL,20999365
IN,Nitrogen,Atmospheric,A,53046689
IN,Nitrogen,ConfinedLivestock,CL,74066729
IN,Nitrogen,FarmFertilizer,FF,462644729
IN,Nitrogen,NonfarmFertilizer,NFF,4402934
IN,Nitrogen,UnconfinedLivestock,UCL,40368299
IN,Phosphorus,ConfinedLivestock,CL,26008273
IN,Phosphorus,FarmFertilizer,FF,103718869
IN,Phosphorus,NonfarmFertilizer,NFF,1260534
IN,Phosphorus,UnconfinedLivestock,UCL,13045495
KS,Nitrogen,Atmospheric,A,91450130
KS,Nitrogen,ConfinedLivestock,CL,102442168
KS,Nitrogen,FarmFertilizer,FF,482587238
KS,Nitrogen,NonfarmFertilizer,NFF,2055525
KS,Nitrogen,UnconfinedLivestock,UCL,144277423
KS,Phosphorus,ConfinedLivestock,CL,28857565
KS,Phosphorus,FarmFertilizer,FF,52072393
KS,Phosphorus,NonfarmFertilizer,NFF,285322
KS,Phosphorus,UnconfinedLivestock,UCL,44200152
KY,Nitrogen,Atmospheric,A,45804606
KY,Nitrogen,ConfinedLivestock,CL,30857369
KY,Nitrogen,FarmFertilizer,FF,164525286
KY,Nitrogen,NonfarmFertilizer,NFF,1856142
KY,Nitrogen,UnconfinedLivestock,UCL,93096569
KY,Phosphorus,ConfinedLivestock,CL,7563175
KY,Phosphorus,FarmFertilizer,FF,42413747
KY,Phosphorus,NonfarmFertilizer,NFF,462579
KY,Phosphorus,UnconfinedLivestock,UCL,28760291
LA,Nitrogen,Atmospheric,A,54190414
LA,Nitrogen,ConfinedLivestock,CL,11888691
LA,Nitrogen,FarmFertilizer,FF,138014682
LA,Nitrogen,NonfarmFertilizer,NFF,1477833
LA,Nitrogen,UnconfinedLivestock,UCL,37246870
LA,Phosphorus,ConfinedLivestock,CL,3039953
LA,Phosphorus,FarmFertilizer,FF,16151613
LA,Phosphorus,NonfarmFertilizer,NFF,290483
LA,Phosphorus,UnconfinedLivestock,UCL,11049629
MA,Nitrogen,Atmospheric,A,7409644
MA,Nitrogen,ConfinedLivestock,CL,4248566
MA,Nitrogen,FarmFertilizer,FF,8215509
MA,Nitrogen,NonfarmFertilizer,NFF,1837182
MA,Nitrogen,UnconfinedLivestock,UCL,2005655
MA,Phosphorus,ConfinedLivestock,CL,944525
MA,Phosphorus,FarmFertilizer,FF,1909608
MA,Phosphorus,NonfarmFertilizer,NFF,217699
MA,Phosphorus,UnconfinedLivestock,UCL,489030
MD,Nitrogen,Atmospheric,A,12357747
MD,Nitrogen,ConfinedLivestock,CL,31660610
MD,Nitrogen,FarmFertilizer,FF,46845447
MD,Nitrogen,NonfarmFertilizer,NFF,3297929
MD,Nitrogen,UnconfinedLivestock,UCL,7453140
MD,Phosphorus,ConfinedLivestock,CL,8570187
MD,Phosphorus,FarmFertilizer,FF,13635737
MD,Phosphorus,NonfarmFertilizer,NFF,917313
MD,Phosphorus,UnconfinedLivestock,UCL,1959688
ME,Nitrogen,Atmospheric,A,19107428
ME,Nitrogen,ConfinedLivestock,CL,6991875
ME,Nitrogen,FarmFertilizer,FF,10539439
ME,Nitrogen,NonfarmFertilizer,NFF,1202563
ME,Nitrogen,UnconfinedLivestock,UCL,2342746
ME,Phosphorus,ConfinedLivestock,CL,1642984
ME,Phosphorus,FarmFertilizer,FF,3399087
ME,Phosphorus,NonfarmFertilizer,NFF,545318
ME,Phosphorus,UnconfinedLivestock,UCL,536247
MI,Nitrogen,Atmospheric,A,79074888
MI,Nitrogen,ConfinedLivestock,CL,54200292
MI,Nitrogen,FarmFertilizer,FF,215891582
MI,Nitrogen,NonfarmFertilizer,NFF,6259730
MI,Nitrogen,UnconfinedLivestock,UCL,22166602
